"state","city","neighbourhood","lat","lng"
"Atlántico","Barranquilla","SAN MARTÍN",10.9338713,-74.8090391
"Cundinamarca","Bogotá D.C.","SAN MARTIN",4.61957255,-74.06736995
"Cundinamarca","Bogotá D.C.","SAN MARTÍN",4.6191745,-74.06781765
"Santander","Bucaramanga","SAN MARTIN",7.10847405,-73.12121815
"Santander","Bucaramanga","SAN MARTÍN",7.1141341,-73.1216991
"Norte de Santander","Cúcuta","SAN MARTIN",7.7645727,-72.5275801
"Norte de Santander","Cúcuta","SAN MARTÍN",7.7645727,-72.5275801
"La Guajira","Maicao","SAN MARTIN",11.3805762,-72.2428741
"Nariño","Nariño","SAN MARTIN",1.2116975,-77.2826468
"Nariño","Nariño","SAN MARTÍN",1.20952025,-77.2825784
"La Guajira","Riohacha","SAN MARTIN",11.22554,-72.89551
"La Guajira","Riohacha","SAN MARTÍN",11.22554,-72.89551
"Magdalena","Santa Marta","SAN MARTIN",11.2529674,-74.2109623
"Magdalena","Santa Marta","SAN MARTÍN",11.2529674,-74.2109623
"Cundinamarca","Soacha","SAN MARTIN",4.57604075,-74.2186333
"Cundinamarca","Soacha","SAN MARTÍN",4.5776088,-74.2174515
"Norte de Santander","Villa del Rosario","SAN MARTIN",7.86493,-72.479321
"Norte de Santander","Villa del Rosario","SAN MARTÍN",7.86493,-72.479321
"Cundinamarca","Bogotá D.C.","SAN MATEO",4.5810069,-74.1988555
"Norte de Santander","Cúcuta","SAN MATEO",7.882827,-72.483507
"Cundinamarca","Soacha","SAN MATEO",4.5810069,-74.1988555
"Cundinamarca","Bogotá D.C.","SAN MIGUEL",4.6626962,-74.0790038
"Santander","Bucaramanga","SAN MIGUEL",7.09897,-73.10723
"Norte de Santander","Cúcuta","SAN MIGUEL",7.887457,-72.5153065
"Cundinamarca","Soacha","SAN MIGUEL",4.5827227,-74.2117465
"Atlántico","Barranquilla","SAN NICOLAS",10.9373213,-74.7958767
"Cundinamarca","Bogotá D.C.","SAN NICOLAS",4.6993999,-74.07400945
"Valle del Cauca","Cali","SAN NICOLAS",3.4558256,-76.5228101
